DNA_cut_off,RNA_cut_off,Total_barcode,Percentile_of_PC,barcode_better_than_pc,better_than_pc_ratio,barcode_better_than_nc,better_than_nc_ratio,barcode_worse_than_pc,worse_than_pc_ratio,barcode_worse_than_nc,worse_than_nc_ratio
100,0,146291,0.05,54157,0.37020049080257844,49336,0.337245626866998,88759,0.6067290537353631,85075,0.5815463699065561
100,0,146291,0.1,33031,0.22578969314585312,49336,0.337245626866998,107822,0.7370378218755768,85075,0.5815463699065561
100,0,146291,0.15,19595,0.13394535549008482,49336,0.337245626866998,121637,0.8314728862336029,85075,0.5815463699065561
100,0,146291,0.2,11907,0.08139256687014239,49336,0.337245626866998,130441,0.8916543054596661,85075,0.5815463699065561
100,0,146291,0.25,7480,0.051130964994428915,49336,0.337245626866998,135830,0.9284918416033796,85075,0.5815463699065561
100,0,146291,0.3,4722,0.03227813057536007,49336,0.337245626866998,139237,0.9517810391616709,85075,0.5815463699065561
100,0,146291,0.35,3097,0.021170133501035606,49336,0.337245626866998,141554,0.9676193340670308,85075,0.5815463699065561
100,0,146291,0.4,2047,0.013992658468395185,49336,0.337245626866998,143002,0.9775174139215673,85075,0.5815463699065561
100,0,146291,0.45,1366,0.009337553232939826,49336,0.337245626866998,143976,0.9841753764756547,85075,0.5815463699065561
100,0,146291,0.5,937,0.0064050420053181675,49336,0.337245626866998,144650,0.9887826318775591,85075,0.5815463699065561
100,0,146291,0.55,647,0.004422691758207955,49336,0.337245626866998,145135,0.9920979417735882,85075,0.5815463699065561
100,0,146291,0.6,459,0.003137581942839956,49336,0.337245626866998,145440,0.9941828273783077,85075,0.5815463699065561
100,0,146291,0.65,333,0.0022762849389231054,49336,0.337245626866998,145680,0.995823393100054,85075,0.5815463699065561
100,0,146291,0.7,254,0.0017362653888482545,49336,0.337245626866998,145829,0.9968419109856382,85075,0.5815463699065561
100,0,146291,0.75,193,0.0013192882679043823,49336,0.337245626866998,145941,0.9976075083224532,85075,0.5815463699065561
100,0,146291,0.8,158,0.0010800391001497016,49336,0.337245626866998,146017,0.9981270208010062,85075,0.5815463699065561
100,0,146291,0.85,131,0.0008954754564532337,49336,0.337245626866998,146075,0.9985234908504282,85075,0.5815463699065561
100,0,146291,0.9,102,0.0006972404317422124,49336,0.337245626866998,146114,0.9987900827802121,85075,0.5815463699065561
100,0,146291,0.95,86,0.0005878693836257869,49336,0.337245626866998,146139,0.9989609750428939,85075,0.5815463699065561
100,0,146291,1.0,68,0.0004648269544948083,49336,0.337245626866998,146163,0.9991250316150686,85075,0.5815463699065561
100,0,146291,1.05,59,0.00040330573992931895,49336,0.337245626866998,146189,0.9993027595682578,85075,0.5815463699065561
100,0,146291,1.1,52,0.0003554559063783828,49336,0.337245626866998,146203,0.9993984592353596,85075,0.5815463699065561
100,0,146291,1.15,49,0.00033494883485655304,49336,0.337245626866998,146218,0.9995009945929688,85075,0.5815463699065561
100,0,146291,1.2,43,0.00029393469181289347,49336,0.337245626866998,146226,0.999555680117027,85075,0.5815463699065561
100,0,146291,1.25,38,0.00025975623927651054,49336,0.337245626866998,146236,0.9996240370220998,85075,0.5815463699065561
100,0,146291,1.3,36,0.0002460848582619573,49336,0.337245626866998,146239,0.9996445440936216,85075,0.5815463699065561
100,0,146291,1.35,34,0.00023241347724740414,49336,0.337245626866998,146243,0.9996718868556507,85075,0.5815463699065561
100,0,146291,1.4,33,0.00022557778674012755,49336,0.337245626866998,146248,0.9997060653081871,85075,0.5815463699065561
100,0,146291,1.45,31,0.00021190640572557438,49336,0.337245626866998,146252,0.9997334080702163,85075,0.5815463699065561
100,0,146291,1.5,30,0.00020507071521829777,49336,0.337245626866998,146254,0.9997470794512308,85075,0.5815463699065561
100,0,146291,1.55,29,0.00019823502471102118,49336,0.337245626866998,146255,0.9997539151417381,85075,0.5815463699065561
100,0,146291,1.6,28,0.0001913993342037446,49336,0.337245626866998,146257,0.9997675865227525,85075,0.5815463699065561
100,0,146291,1.65,28,0.0001913993342037446,49336,0.337245626866998,146258,0.9997744222132599,85075,0.5815463699065561
100,0,146291,1.7,26,0.0001777279531891914,49336,0.337245626866998,146260,0.9997880935942745,85075,0.5815463699065561
100,0,146291,1.75,25,0.0001708922626819148,49336,0.337245626866998,146261,0.9997949292847818,85075,0.5815463699065561
100,0,146291,1.8,25,0.0001708922626819148,49336,0.337245626866998,146262,0.9998017649752889,85075,0.5815463699065561
100,0,146291,1.85,22,0.00015038519116008503,49336,0.337245626866998,146262,0.9998017649752889,85075,0.5815463699065561
100,0,146291,1.9,19,0.00012987811963825527,49336,0.337245626866998,146263,0.9998086006657962,85075,0.5815463699065561
100,0,146291,1.95,18,0.00012304242913097866,49336,0.337245626866998,146264,0.9998154363563035,85075,0.5815463699065561
100,0,146291,2.0,18,0.00012304242913097866,49336,0.337245626866998,146265,0.9998222720468108,85075,0.5815463699065561
