DNA_cut_off,RNA_cut_off,Total_barcode,Percentile_of_PC,barcode_better_than_pc,better_than_pc_ratio,barcode_better_than_nc,better_than_nc_ratio,barcode_worse_than_pc,worse_than_pc_ratio,barcode_worse_than_nc,worse_than_nc_ratio
1,0,239457,0.1,43382,0.18116822644566666,59718,0.2493892431626555,190468,0.7954162960364491,170414,0.7116684832767469
1,0,239457,0.2,21915,0.0915195630113131,59718,0.2493892431626555,212247,0.8863679073904709,170414,0.7116684832767469
1,0,239457,0.3,12168,0.05081496886706173,59718,0.2493892431626555,223399,0.9329399432883566,170414,0.7116684832767469
1,0,239457,0.4,7537,0.031475379713267936,59718,0.2493892431626555,229187,0.9571112976442535,170414,0.7116684832767469
1,0,239457,0.5,5158,0.021540401825797535,59718,0.2493892431626555,232406,0.970554212238523,170414,0.7116684832767469
1,0,239457,0.6,3721,0.01553932438809473,59718,0.2493892431626555,234304,0.9784804787498381,170414,0.7116684832767469
1,0,239457,0.7,2853,0.011914456457735628,59718,0.2493892431626555,235548,0.9836755659680027,170414,0.7116684832767469
1,0,239457,0.8,2258,0.009429667957086241,59718,0.2493892431626555,236353,0.9870373386453518,170414,0.7116684832767469
1,0,239457,0.9,1846,0.007709108524703809,59718,0.2493892431626555,236953,0.9895430077216368,170414,0.7116684832767469
1,0,239457,1.0,1595,0.006660903627791211,59718,0.2493892431626555,237362,0.9912510388086379,170414,0.7116684832767469
5,0,228399,0.1,43034,0.1884158862341779,59350,0.25985227606075334,179764,0.7870612393224139,159726,0.6993288061681531
5,0,228399,0.2,21574,0.09445750638137645,59350,0.25985227606075334,201529,0.8823550015542975,159726,0.6993288061681531
5,0,228399,0.3,11854,0.051900402366034874,59350,0.25985227606075334,212658,0.9310811343307107,159726,0.6993288061681531
5,0,228399,0.4,7244,0.03171642607892329,59350,0.25985227606075334,218441,0.9564008598986861,159726,0.6993288061681531
5,0,228399,0.5,4874,0.0213398482480221,59350,0.25985227606075334,221639,0.9704026725160794,159726,0.6993288061681531
5,0,228399,0.6,3444,0.015078875126423495,59350,0.25985227606075334,223530,0.9786820432663891,159726,0.6993288061681531
5,0,228399,0.7,2581,0.011300399739053148,59350,0.25985227606075334,224769,0.9841067605374805,159726,0.6993288061681531
5,0,228399,0.8,2007,0.008787253884649232,59350,0.25985227606075334,225568,0.9876050245403877,159726,0.6993288061681531
5,0,228399,0.9,1602,0.007014041217343334,59350,0.25985227606075334,226148,0.990144440212085,159726,0.6993288061681531
5,0,228399,1.0,1354,0.00592822210254861,59350,0.25985227606075334,226551,0.9919088962736264,159726,0.6993288061681531
10,0,220445,0.1,42637,0.19341332305110118,58934,0.2673410601283767,172210,0.7811925877202931,152210,0.6904670099117693
10,0,220445,0.2,21217,0.09624622921817233,58934,0.2673410601283767,193940,0.879765928009254,152210,0.6904670099117693
10,0,220445,0.3,11507,0.052198961192134095,58934,0.2673410601283767,205050,0.9301639864818889,152210,0.6904670099117693
10,0,220445,0.4,6917,0.03137744108507791,58934,0.2673410601283767,210827,0.956370069631881,152210,0.6904670099117693
10,0,220445,0.5,4558,0.020676359182562543,58934,0.2673410601283767,214010,0.9708090453401075,152210,0.6904670099117693
10,0,220445,0.6,3144,0.014262060831499921,58934,0.2673410601283767,215892,0.9793463222118896,152210,0.6904670099117693
10,0,220445,0.7,2291,0.010392614937966387,58934,0.2673410601283767,217120,0.9849168726893329,152210,0.6904670099117693
10,0,220445,0.8,1731,0.007852298759327723,58934,0.2673410601283767,217905,0.9884778516183175,152210,0.6904670099117693
10,0,220445,0.9,1349,0.006119440223184921,58934,0.2673410601283767,218474,0.99105899430697,152210,0.6904670099117693
10,0,220445,1.0,1108,0.005026197010592212,58934,0.2673410601283767,218867,0.9928417519109075,152210,0.6904670099117693
20,0,209146,0.1,41958,0.20061583774014324,58194,0.27824581871037457,161598,0.7726564218297266,141737,0.677694051045681
20,0,209146,0.2,20561,0.09830931502395455,58194,0.27824581871037457,183306,0.8764499440582177,141737,0.677694051045681
20,0,209146,0.3,10887,0.05205454562841269,58194,0.27824581871037457,194392,0.9294559781205474,141737,0.677694051045681
20,0,209146,0.4,6348,0.030352002907060138,58194,0.27824581871037457,200131,0.9568961395388867,141737,0.677694051045681
20,0,209146,0.5,4043,0.01933099365993134,58194,0.27824581871037457,203272,0.9719143564782496,141737,0.677694051045681
20,0,209146,0.6,2672,0.012775764298623928,58194,0.27824581871037457,205108,0.9806929130846395,141737,0.677694051045681
20,0,209146,0.7,1861,0.008898090329243687,58194,0.27824581871037457,206298,0.9863827182924847,141737,0.677694051045681
20,0,209146,0.8,1340,0.006407007544968587,58194,0.27824581871037457,207046,0.9899591672802731,141737,0.677694051045681
20,0,209146,0.9,990,0.004733535425014105,58194,0.27824581871037457,207574,0.9924837195069472,141737,0.677694051045681
20,0,209146,1.0,778,0.0037198894552131047,58194,0.27824581871037457,207947,0.9942671626519274,141737,0.677694051045681
50,0,182907,0.1,39114,0.21384638094769473,55245,0.3020387409995243,138240,0.7557939280618019,118593,0.6483786842493726
50,0,182907,0.2,18024,0.0985418819400023,55245,0.3020387409995243,159714,0.8731978546474438,118593,0.6483786842493726
50,0,182907,0.3,8723,0.04769090302722148,55245,0.3020387409995243,170516,0.9322551897959072,118593,0.6483786842493726
50,0,182907,0.4,4546,0.02485416085770364,55245,0.3020387409995243,175944,0.9619314733717135,118593,0.6483786842493726
50,0,182907,0.5,2579,0.01410006178003029,55245,0.3020387409995243,178768,0.97737101368455,118593,0.6483786842493726
50,0,182907,0.6,1494,0.008168085420459577,55245,0.3020387409995243,180333,0.9859272745165576,118593,0.6483786842493726
50,0,182907,0.7,899,0.0049150661265014465,55245,0.3020387409995243,181288,0.9911485071648434,118593,0.6483786842493726
50,0,182907,0.8,551,0.0030124598839847572,55245,0.3020387409995243,181839,0.9941609670488281,118593,0.6483786842493726
50,0,182907,0.9,356,0.0019463443170573023,55245,0.3020387409995243,182194,0.9961018441065678,118593,0.6483786842493726
50,0,182907,1.0,249,0.0013613475700765963,55245,0.3020387409995243,182436,0.9974249208614214,118593,0.6483786842493726
100,0,146291,0.1,32780,0.2240739348285267,48351,0.3305124717173305,108177,0.73946449200566,89010,0.6084448120526895
100,0,146291,0.2,13314,0.09101038341388056,48351,0.3305124717173305,128388,0.8776206328482271,89010,0.6084448120526895
100,0,146291,0.3,5609,0.03834138805531441,48351,0.3305124717173305,137737,0.9415275034007561,89010,0.6084448120526895
100,0,146291,0.4,2543,0.017383160960004376,48351,0.3305124717173305,142027,0.9708526156769726,89010,0.6084448120526895
100,0,146291,0.5,1272,0.008694998325255826,48351,0.3305124717173305,144021,0.9844829825484821,89010,0.6084448120526895
100,0,146291,0.6,643,0.004395348996178849,48351,0.3305124717173305,145021,0.9913186730557587,89010,0.6084448120526895
100,0,146291,0.7,351,0.002399327368054084,48351,0.3305124717173305,145574,0.9950988099062826,89010,0.6084448120526895
100,0,146291,0.8,192,0.0013124525773971058,48351,0.3305124717173305,145856,0.9970264746293347,89010,0.6084448120526895
100,0,146291,0.9,118,0.0008066114798586379,48351,0.3305124717173305,146029,0.9982090490870935,89010,0.6084448120526895
100,0,146291,1.0,82,0.0005605266215966806,48351,0.3305124717173305,146130,0.9988994538283285,89010,0.6084448120526895
200,0,87193,0.1,19399,0.22248345624075327,31905,0.36591240122486896,63648,0.7299668551374537,47354,0.5430940557154817
200,0,87193,0.2,6433,0.0737788583945959,31905,0.36591240122486896,77988,0.8944295987063182,47354,0.5430940557154817
200,0,87193,0.3,2242,0.025713073297168352,31905,0.36591240122486896,83456,0.9571410549011962,47354,0.5430940557154817
200,0,87193,0.4,849,0.009737020173637792,31905,0.36591240122486896,85607,0.9818104664365259,47354,0.5430940557154817
200,0,87193,0.5,374,0.004289335153051277,31905,0.36591240122486896,86440,0.9913639856410492,47354,0.5430940557154817
200,0,87193,0.6,174,0.001995573039120113,31905,0.36591240122486896,86821,0.9957336024680881,47354,0.5430940557154817
200,0,87193,0.7,101,0.001158349867535238,31905,0.36591240122486896,86993,0.9977062378860688,47354,0.5430940557154817
200,0,87193,0.8,66,0.0007569414975972841,31905,0.36591240122486896,87076,0.9986581491633503,47354,0.5430940557154817
200,0,87193,0.9,47,0.0005390340967738236,31905,0.36591240122486896,87115,0.9991054327755668,47354,0.5430940557154817
200,0,87193,1.0,36,0.00041287718050760954,31905,0.36591240122486896,87132,0.999300402555251,47354,0.5430940557154817
400,0,28752,0.1,5864,0.20395102949360044,11064,0.38480801335559267,21242,0.7388007790762382,13225,0.4599680022259321
400,0,28752,0.2,1383,0.048101001669449084,11064,0.38480801335559267,26554,0.923553144129104,13225,0.4599680022259321
400,0,28752,0.3,364,0.012659988870339456,11064,0.38480801335559267,28050,0.9755843071786311,13225,0.4599680022259321
400,0,28752,0.4,124,0.00431274346132443,11064,0.38480801335559267,28509,0.9915484140233722,13225,0.4599680022259321
400,0,28752,0.5,65,0.002260712298274903,11064,0.38480801335559267,28641,0.9961393989983306,13225,0.4599680022259321
400,0,28752,0.6,36,0.0012520868113522537,11064,0.38480801335559267,28687,0.9977392877017252,13225,0.4599680022259321
400,0,28752,0.7,23,0.0007999443516972732,11064,0.38480801335559267,28713,0.9986435726210351,13225,0.4599680022259321
400,0,28752,0.8,18,0.0006260434056761269,11064,0.38480801335559267,28727,0.9991304952698943,13225,0.4599680022259321
