,Total_name,Motif,Strandness,relative_fold,relative_fold_median,T_value,P_value,Ranksum_statistic,Ranksum_P_value,Corrected_pvalue,N_with_motif,N_without_motif,Significant
482,RFX1_r,RFX1,Reverse,1.6149811655828423,1.0964569428499285,1.3913470782080022,0.16858818321060573,0.6436853877439866,0.5197794672258664,0.6393939889724047,70,35680,No
522,ORC1_r,ORC1,Reverse,1.5187725830663734,0.6710287517947647,0.8885064376993985,0.3874280398215808,0.004031358771599192,0.99678344978957,1.0,17,35733,No
280,IXR1_f,IXR1,Forward,1.4947035195524707,1.3429112955097153,1.5017065744062603,0.14804957320509302,1.0490889989033054,0.2941371588459508,0.427043578768936,22,35728,No
255,MSN2_f,MSN2,Forward,1.371709396078342,1.3273540005489881,11.434624273362001,1.503982374163798e-29,11.333884211157557,8.916114145011332e-30,2.496511960603173e-28,2292,33458,Yes
554,YML081W_r,YML081W,Reverse,1.343598083515666,1.392363150757247,21.468683469954815,2.3422341300627282e-101,21.484672426015486,2.165863064782218e-102,6.36763741045972e-100,24444,11306,Yes
59,MSN2,MSN2,Both,1.3412680221974331,1.302029240646283,11.042570701990824,8.16069671853473e-28,11.327154197552963,9.628234022411986e-30,2.5733643659901124e-28,2713,33037,Yes
391,YRM1_f,YRM1,Forward,1.3355842205308182,1.637572685850622,1.0611231081496075,0.30192585833549324,1.0376936563223136,0.2994126992595636,0.4315065371681946,20,35730,No
162,YML081W,YML081W,Both,1.3265697671546732,1.3913106069678394,18.28331863239905,7.152543262940986e-74,19.150449672224315,9.595462827813669e-82,1.1284264285508875e-79,27620,8130,Yes
256,MSN4_f,MSN4,Forward,1.3230074908361866,1.3689341326450024,9.907433891218046,1.166249090045244e-22,10.734762571441781,6.989841435969525e-27,1.6440107057400322e-25,1983,33767,Yes
410,RSF2_r,RSF2,Reverse,1.3076332903530261,1.3094230080692946,14.54475582646626,3.783992146556331e-47,15.85766595296837,1.2443311673127395e-56,8.129630293109898e-55,4864,30886,Yes
357,YGR067C_f,YGR067C,Forward,1.306341372774319,1.347103390164233,19.59395721480739,6.442958826285775e-85,20.1689683164305,1.8342523899697066e-90,2.696351013255469e-88,23301,12449,Yes
161,YGR067C,YGR067C,Both,1.3022386625091673,1.3625290522400781,17.47403501233531,8.640026684856693e-68,18.77463439936961,1.21783369608614e-78,1.1934770221644172e-76,26559,9191,Yes
422,YPR022C_r,YPR022C,Reverse,1.3016616131466061,1.344677441397112,20.436475759700546,2.716243019479933e-92,21.65221680164358,5.792607288065794e-104,3.406053085382687e-101,17377,18373,Yes
399,GIS1_r,GIS1,Reverse,1.2965841567047816,1.332498053033412,15.246976819581462,7.77386045089429e-52,17.017289311665863,6.113614828609618e-65,4.4935068990280694e-63,6634,29116,Yes
220,USV1_f,USV1,Forward,1.2950191325708822,1.3299778964250022,15.948299221385637,1.3838819911643623e-56,17.732004592879164,2.3741631579179232e-70,1.9942970526510555e-68,7366,28384,Yes
90,RFX1,RFX1,Both,1.2874539839538832,1.1266639382684576,1.6741354921015343,0.09571918697648933,1.4187155205139554,0.15598197046894874,0.2666203448713426,194,35556,No
30,YPR022C,YPR022C,Both,1.2820065084188594,1.334238840002427,18.991267454460292,5.095001828907911e-80,20.478144705646958,3.3726144045939734e-93,6.610324233004189e-91,19561,16189,Yes
417,YER130C_r,YER130C,Reverse,1.2811393150536903,1.3323336196958935,14.254849742697981,1.6316578621652983e-45,15.411836464867708,1.3628314450025326e-53,7.284953542377175e-52,5673,30077,Yes
18,RSF2,RSF2,Both,1.2800264093418157,1.2703965746809656,13.869546594272176,3.439681120858013e-43,15.164060172372691,6.116820051294565e-52,2.9972418251343372e-50,5563,30187,Yes
60,MSN4,MSN4,Both,1.2536487117601667,1.281634251748043,8.778273469939307,2.765700328656483e-18,9.72251743299918,2.4172988481477603e-22,4.585070073260913e-21,2624,33126,Yes
407,REI1_r,REI1,Reverse,1.2502311929560297,1.260583095460312,9.580608389286235,1.881178709225228e-21,10.04374098968711,9.788968063314482e-24,1.9847976624927294e-22,2749,33001,Yes
362,ECM22_f,ECM22,Forward,1.2333929746375647,1.203941303897583,6.295878531468829,3.9814545075114784e-10,6.451913950955451,1.1044628896830007e-10,9.277488273337207e-10,1439,34311,Yes
