,Total_name,Motif,Strandness,relative_fold,relative_fold_median,Ranksum_statistic,Ranksum_P_value,Corrected_pvalue,N_with_motif,N_without_motif,Significant
385,TEA1_f,TEA1,Forward,1.4754989439005315,1.743471132347288,1.905800130295524,0.056676142038917854,0.95215918625382,13,35737,No
266,ZAP1_f,ZAP1,Forward,1.4396733800585415,2.0307941071615176,1.2146898333762772,0.22448441154680887,0.8858847918759974,2,35748,No
467,AZF1_r,AZF1,Reverse,1.4322238017932831,1.163010074702168,0.20338793717081718,0.8388318275156015,1.0,12,35738,No
189,TEA1,TEA1,Both,1.3021313156632415,1.4944281089800164,1.3454191995130111,0.1784898984853387,0.8970261564904201,24,35726,No
469,GAL4_r,GAL4,Reverse,1.2251445614679397,1.2748813398119654,0.7730813351730844,0.43947424652067024,0.9938879113621312,43,35707,No
77,GAL4,GAL4,Both,1.1969577323532783,1.3910744985330388,1.3511382230702782,0.1766511593130068,0.9111480848776139,63,35687,No
314,PUT3_f,PUT3,Forward,1.1860475949981077,1.107048304554367,0.403843590508072,0.6863277396051071,1.0,41,35709,No
228,ACA1_f,ACA1,Forward,1.1811703468475987,0.8234887982498719,-0.37995550529889904,0.7039784441927391,1.0,63,35687,No
497,YRR1_r,YRR1,Reverse,1.178627606603178,1.029009679435767,0.8507801378501174,0.3948914970026356,0.9555399186730442,44,35706,No
330,UME6_f,UME6,Forward,1.1769582120304773,1.0975926626096748,1.3198637335333223,0.1868805179204277,0.9081466490678636,104,35646,No
282,MATA1_f,MATA1,Forward,1.163923797641043,1.0812418849858094,1.4769539553326454,0.13968798028951582,0.9663121460027683,295,35455,No
360,CEP3_f,CEP3,Forward,1.1556689294020597,1.1375951378480722,0.18747562488908723,0.8512877333751159,1.0,26,35724,No
434,PPR1_r,PPR1,Reverse,1.1544103980321727,1.1283180883226664,0.9924100197936945,0.3209975531490774,0.9390376181674503,131,35619,No
522,ORC1_r,ORC1,Reverse,1.153367857856299,1.1260341929772437,0.6884455978029816,0.49117221786532383,0.9531658881346879,17,35733,No
164,CEP3,CEP3,Both,1.152643841501924,0.9536930861701846,0.20215469055323804,0.8397957934740254,1.0,50,35700,No
556,CEP3_r,CEP3,Reverse,1.1491108570279098,0.836278187175721,0.09655361314152197,0.9230808956521229,1.0,24,35726,No
383,TBF1_f,TBF1,Forward,1.1387920767294617,1.1098067522142845,2.933594311294635,0.0033506184205063494,1.0,994,34756,No
75,AZF1,AZF1,Both,1.1378563797611327,1.129652399624198,1.3040828354565124,0.19220534058193017,0.9041339220973996,190,35560,No
466,ASH1_r,ASH1,Reverse,1.1329829759193801,1.0679196836945382,1.1394558279614857,0.2545130819990815,0.9237882235522218,920,34830,No
475,IME1_r,IME1,Reverse,1.1206096264949326,1.0001967306695425,0.680374434652775,0.4962674043821622,0.9567384713990537,177,35573,No
240,RTG1_f,RTG1,Forward,1.120352731635442,1.1474619778525916,1.9949682520399323,0.046046342590813506,0.9025083147799448,231,35519,No
42,PPR1,PPR1,Both,1.1196587624744707,1.0391312353898694,1.4763967975799608,0.1398374019129212,0.956097585172066,359,35391,No
516,CUP2_r,CUP2,Reverse,1.1180585108446228,1.1173728553211606,1.83201821721324,0.06694870654713761,0.9154846383655096,172,35578,No
271,AZF1_f,AZF1,Forward,1.1177913593769666,1.129652399624198,1.2941646982494088,0.19560853766189534,0.884752462655342,178,35572,No
519,HSF1_r,HSF1,Reverse,1.1166350030118377,1.1060619592663294,1.3325538726069077,0.18267825115682812,0.8951234306684578,360,35390,No
210,REB1_f,REB1,Forward,1.1000093136854583,1.0261241151046752,1.2318445575194539,0.218007155222663,0.9027338540206047,643,35107,No
581,TEA1_r,TEA1,Reverse,1.097000377705204,0.6601895929656205,-0.08481081049591266,0.9324117989754926,1.0,11,35739,No
32,ACA1,ACA1,Both,1.0957514813328486,1.0394033164698508,0.28759563995308546,0.7736562827562696,1.0,179,35571,No
331,YAP1_f,YAP1,Forward,1.095322701973022,1.0626372416734984,0.6931660406713581,0.4882053570025965,0.966547979520292,231,35519,No
537,HAP3_r,HAP3,Reverse,1.0920314892279466,1.0441703063114771,0.5459078458622338,0.5851292848956091,0.9802165798251229,192,35558,No
238,PPR1_f,PPR1,Forward,1.090584954013265,1.0023115406612786,0.9527050146023329,0.3407395518906371,0.9678978575444184,230,35520,No
135,YAP1,YAP1,Both,1.0897802211990082,1.0699481059624354,1.5129145131882835,0.13030137489100252,0.9950286809858373,475,35275,No
303,ARO80_f,ARO80,Forward,1.0887498966659142,1.1055647823749442,1.5227005427311273,0.12783364213791729,0.9890287049617811,225,35525,No
584,YLL054C_r,YLL054C,Reverse,1.0857992233078624,0.9477639511138715,0.10665310364831657,0.9150641881817302,1.0,238,35512,No
