Quantile,DN_expression,P_value_resampled,ranksum_statistic,ranksum_p
0.02,0.21724091524666306,1.0,15.462155067671825,6.247295819872344e-54
0.04,0.28796097360591344,1.0,19.807677474890774,2.55605717806327e-87
0.06,0.36836851981866636,1.0,23.73511544509113,1.5654678085116898e-124
0.08,0.41016588038670876,1.0,24.86914671111963,1.6053051775292198e-136
0.1,0.47489680427200226,1.0,26.132539922889023,1.5566108212131057e-150
0.12,0.6276690735037163,1.0,27.505905519307383,1.492118214783947e-166
0.14,0.7705911685424025,1.0,27.90521175097615,2.306530737056158e-171
0.16,0.8354931995586877,1.0,28.08376671394353,1.5465052113551485e-173
0.18,0.8840177129658036,1.0,28.079504336718202,1.743411122418681e-173
0.2,0.8840269476736113,1.0,28.119887425994335,5.597066693828173e-174
0.22,0.8948263164820388,1.0,28.13147333541136,4.038891092019969e-174
0.24,1.0347327094287313,1.0,28.04727037719983,4.312783051985566e-173
0.26,1.162104886943933,1.0,27.1391264784535,3.402706354099846e-162
0.28,1.162104886943933,1.0,27.1391264784535,3.402706354099846e-162
0.3,1.2080105722144792,1.0,26.55255537352568,2.399499731423437e-155
0.32,1.3872462998106798,1.0,25.974955729680136,9.503074707440233e-149
0.34,1.3969425747265287,1.0,25.410239556368413,1.9434401360578566e-142
0.36,1.5539298440368092,1.0,24.736786108358473,4.301585419356014e-135
0.38,1.574162393910571,1.0,23.89392167212786,3.542440401091544e-126
0.4,1.640146077922878,1.0,22.973836771664327,8.515045944190182e-117
0.42,1.6803597362453937,1.0,21.876499697136836,4.349745391449877e-106
0.44,1.9503355367078565,1.0,21.357742877386553,3.3039473965273284e-101
0.46,2.0099859406236074,1.0,20.668890196562103,6.601682611748472e-95
0.48,2.306182433160622,1.0,19.480749633833735,1.5992081803256664e-84
0.5,2.3174166501964706,1.0,18.288513300520624,1.0216359349838e-74
0.52,2.4210724112817865,1.0,17.1336020540017,8.333184063552888e-66
0.54,2.6737107142237235,1.0,16.11748232019093,1.922849460069172e-58
0.56,3.1616546896826447,1.0,14.341540457759061,1.2035398868871078e-46
0.58,3.4206594366431307,1.0,13.282168669338633,2.937613157529943e-40
0.6,3.487590956846589,0.996,8.862638983155145,7.814230384411031e-19
0.62,3.487590956846589,0.996,8.862638983155145,7.814230384411031e-19
0.64,3.487590956846589,0.996,8.862638983155145,7.814230384411031e-19
0.66,3.746005666018975,0.994,6.954275416728329,3.543786871589802e-12
0.68,3.787932789389428,0.992,6.164209494929778,7.083611160296382e-10
0.7,3.8868242598943024,0.26,4.387499093809211,1.146614713101502e-05
0.72,4.578748537071454,0.029,3.091427895058965,0.001991963546006809
0.74,5.084738425662053,0.007,1.678192590734961,0.09330950772132048
0.76,5.790442305149632,0.008,0.1838496188039204,0.8541314293462329
0.78,6.719243443446999,0.003,-1.6751264611729604,0.09390942218831255
0.8,7.100707965231003,0.0,-3.225651556310808,0.0012568627160558492
0.82,10.063913315620594,0.0,-5.309942184248904,1.096600164035545e-07
0.84,13.76345222046823,0.0,-7.382160253210643,1.5574157079888586e-13
0.86,14.611178941551497,0.0,-9.492236075340015,2.261305646975107e-21
0.88,21.316111391165755,0.0,-11.013264002525256,3.2983347623408762e-28
0.9,22.03082081750269,0.0,-13.62701794567132,2.7665596905802328e-42
0.92,27.83873249070482,0.0,-15.528817811200067,2.2142419093795967e-54
0.94,48.729451364757416,0.0,-17.516707110059354,1.0683259814759423e-68
0.96,89.96328644835714,0.0,-19.74047305534878,9.686688339434869e-87
0.98,155.9594870955857,0.0,-23.229825737706157,2.2753892457990871e-119
1.0,171.6111820032116,0.0,-23.828628228945963,1.686984179403804e-125
