DNA_cut_off,RNA_cut_off,Total_barcode,Percentile_of_PC,barcode_better_than_pc,better_than_pc_ratio,barcode_better_than_nc,better_than_nc_ratio,barcode_worse_than_pc,worse_than_pc_ratio,barcode_worse_than_nc,worse_than_nc_ratio
1,0,68590,0.1,14553,0.21217378626621958,27639,0.4029596151042426,49655,0.7239393497594402,36761,0.5359527627934101
1,0,68590,0.2,6159,0.08979443067502552,27639,0.4029596151042426,58876,0.8583758565388541,36761,0.5359527627934101
1,0,68590,0.3,3213,0.04684356320163289,27639,0.4029596151042426,63157,0.920790202653448,36761,0.5359527627934101
1,0,68590,0.4,1958,0.028546435340428635,27639,0.4029596151042426,65179,0.9502697186178743,36761,0.5359527627934101
1,0,68590,0.5,1338,0.019507216795451233,27639,0.4029596151042426,66298,0.9665840501530836,36761,0.5359527627934101
1,0,68590,0.6,1013,0.014768916751713077,27639,0.4029596151042426,66889,0.975200466540312,36761,0.5359527627934101
1,0,68590,0.7,812,0.011838460416970405,27639,0.4029596151042426,67296,0.9811342761335472,36761,0.5359527627934101
1,0,68590,0.8,685,0.009986878553725032,27639,0.4029596151042426,67535,0.9846187490887884,36761,0.5359527627934101
1,0,68590,0.9,581,0.008470622539728823,27639,0.4029596151042426,67706,0.9871118238810322,36761,0.5359527627934101
1,0,68590,1.0,513,0.007479224376731302,27639,0.4029596151042426,67817,0.9887301355882782,36761,0.5359527627934101
5,0,63687,0.1,14265,0.22398605680908193,27354,0.4295068067266475,45035,0.7071301835539435,32142,0.504686984784964
5,0,63687,0.2,5882,0.09235793804073045,27354,0.4295068067266475,54252,0.8518535964953601,32142,0.504686984784964
5,0,63687,0.3,2947,0.04627317976981173,27354,0.4295068067266475,58526,0.9189630536844254,32142,0.504686984784964
5,0,63687,0.4,1699,0.026677343884937272,27354,0.4295068067266475,60542,0.9506178654984534,32142,0.504686984784964
5,0,63687,0.5,1093,0.017162058190839574,27354,0.4295068067266475,61655,0.9680939595207814,32142,0.504686984784964
5,0,63687,0.6,770,0.012090379512302353,27354,0.4295068067266475,62238,0.9772481040086674,32142,0.504686984784964
5,0,63687,0.7,577,0.009059933738439555,27354,0.4295068067266475,62638,0.9835288206384348,32142,0.504686984784964
5,0,63687,0.8,450,0.007065806208488389,27354,0.4295068067266475,62875,0.9872501452415721,32142,0.504686984784964
5,0,63687,0.9,359,0.005636943175216292,27354,0.4295068067266475,63039,0.9898252390597767,32142,0.504686984784964
5,0,63687,1.0,295,0.004632028514453499,27354,0.4295068067266475,63149,0.9915524361329627,32142,0.504686984784964
10,0,61784,0.1,14143,0.22891039751391945,27228,0.4406966204842678,43256,0.7001165350252493,30365,0.49147028356856143
10,0,61784,0.2,5773,0.09343843066165998,27228,0.4406966204842678,52464,0.8491518839829082,30365,0.49147028356856143
10,0,61784,0.3,2855,0.0462093745953645,27228,0.4406966204842678,56723,0.9180855885018775,30365,0.49147028356856143
10,0,61784,0.4,1620,0.02622038068108248,27228,0.4406966204842678,58731,0.950585912210281,30365,0.49147028356856143
10,0,61784,0.5,1024,0.016573870257671888,27228,0.4406966204842678,59831,0.9683898744011394,30365,0.49147028356856143
10,0,61784,0.6,702,0.011362164961802408,27228,0.4406966204842678,60411,0.9777774181017739,30365,0.49147028356856143
10,0,61784,0.7,517,0.008367862229703484,27228,0.4406966204842678,60804,0.9841382882299624,30365,0.49147028356856143
10,0,61784,0.8,392,0.0063446847080150205,27228,0.4406966204842678,61041,0.9879742328110838,30365,0.49147028356856143
10,0,61784,0.9,307,0.0049689239932668655,27228,0.4406966204842678,61196,0.9904829729379775,30365,0.49147028356856143
