DNA_cut_off,RNA_cut_off,Total_barcode,Percentile_of_PC,barcode_better_than_pc,better_than_pc_ratio,barcode_better_than_nc,better_than_nc_ratio,barcode_worse_than_pc,worse_than_pc_ratio,barcode_worse_than_nc,worse_than_nc_ratio
100,0,49169,0.05,35250,0.7169151294514836,30538,0.6210823893103378,11989,0.24383249608493157,15426,0.3137342634586833
100,0,49169,0.1,25955,0.5278732534727165,30538,0.6210823893103378,20298,0.4128210864569139,15426,0.3137342634586833
100,0,49169,0.15,18298,0.3721450507433546,30538,0.6210823893103378,27297,0.5551668734365148,15426,0.3137342634586833
100,0,49169,0.2,12737,0.25904533344180275,30538,0.6210823893103378,32951,0.6701580263987472,15426,0.3137342634586833
100,0,49169,0.25,8845,0.17988976794321626,30538,0.6210823893103378,37177,0.7561064898614981,15426,0.3137342634586833
100,0,49169,0.3,6120,0.12446866928349164,30538,0.6210823893103378,40324,0.8201102320567838,15426,0.3137342634586833
100,0,49169,0.35,4308,0.08761618092700685,30538,0.6210823893103378,42669,0.8678028839309321,15426,0.3137342634586833
100,0,49169,0.4,3012,0.06125810978462039,30538,0.6210823893103378,44348,0.9019504159124652,15426,0.3137342634586833
100,0,49169,0.45,2090,0.04250645732066953,30538,0.6210823893103378,45587,0.9271492200370152,15426,0.3137342634586833
100,0,49169,0.5,1458,0.02965283003518477,30538,0.6210823893103378,46514,0.94600256259025,15426,0.3137342634586833
100,0,49169,0.55,1021,0.020765116231772053,30538,0.6210823893103378,47213,0.960218837072139,15426,0.3137342634586833
100,0,49169,0.6,757,0.015395879517582216,30538,0.6210823893103378,47721,0.970550550143383,15426,0.3137342634586833
100,0,49169,0.65,542,0.011023205678374585,30538,0.6210823893103378,48092,0.9780959547682483,15426,0.3137342634586833
100,0,49169,0.7,393,0.007992841017714414,30538,0.6210823893103378,48329,0.982916065000305,15426,0.3137342634586833
100,0,49169,0.75,295,0.005999715267750005,30538,0.6210823893103378,48534,0.9870853586609449,15426,0.3137342634586833
100,0,49169,0.8,223,0.004535377982061869,30538,0.6210823893103378,48688,0.990217413410889,15426,0.3137342634586833
100,0,49169,0.85,179,0.0036405051963635626,30538,0.6210823893103378,48803,0.9925562854644187,15426,0.3137342634586833
100,0,49169,0.9,147,0.0029896886249466126,30538,0.6210823893103378,48880,0.9941223128393907,15426,0.3137342634586833
100,0,49169,0.95,114,0.002318534035672883,30538,0.6210823893103378,48941,0.9953629319286542,15426,0.3137342634586833
100,0,49169,1.0,94,0.0019117736785372898,30538,0.6210823893103378,48982,0.9961967906607821,15426,0.3137342634586833
100,0,49169,1.05,65,0.001321971160690679,30538,0.6210823893103378,49014,0.9968476072321991,15426,0.3137342634586833
100,0,49169,1.1,55,0.0011185909821228824,30538,0.6210823893103378,49037,0.9973153816429051,15426,0.3137342634586833
100,0,49169,1.15,45,0.0009152108035550855,30538,0.6210823893103378,49061,0.9978034940714678,15426,0.3137342634586833
100,0,49169,1.2,38,0.0007728446785576278,30538,0.6210823893103378,49080,0.9981899164107466,15426,0.3137342634586833
100,0,49169,1.25,32,0.0006508165714169497,30538,0.6210823893103378,49102,0.9986373528035958,15426,0.3137342634586833
100,0,49169,1.3,27,0.0005491264821330513,30538,0.6210823893103378,49110,0.99880005694645,15426,0.3137342634586833
100,0,49169,1.35,22,0.0004474363928491529,30538,0.6210823893103378,49118,0.9989627610893043,15426,0.3137342634586833
100,0,49169,1.4,18,0.0003660843214220342,30538,0.6210823893103378,49127,0.9991458032500152,15426,0.3137342634586833
100,0,49169,1.45,18,0.0003660843214220342,30538,0.6210823893103378,49131,0.9992271553214424,15426,0.3137342634586833
100,0,49169,1.5,15,0.00030507026785169515,30538,0.6210823893103378,49137,0.999349183428583,15426,0.3137342634586833
100,0,49169,1.55,14,0.0002847322499949155,30538,0.6210823893103378,49142,0.999450873517867,15426,0.3137342634586833
100,0,49169,1.6,13,0.0002643942321381358,30538,0.6210823893103378,49143,0.9994712115357237,15426,0.3137342634586833
100,0,49169,1.65,12,0.00024405621428135615,30538,0.6210823893103378,49150,0.9996135776607212,15426,0.3137342634586833
100,0,49169,1.7,11,0.00022371819642457645,30538,0.6210823893103378,49151,0.999633915678578,15426,0.3137342634586833
100,0,49169,1.75,10,0.00020338017856779677,30538,0.6210823893103378,49152,0.9996542536964348,15426,0.3137342634586833
100,0,49169,1.8,10,0.00020338017856779677,30538,0.6210823893103378,49154,0.9996949297321484,15426,0.3137342634586833
100,0,49169,1.85,8,0.00016270414285423742,30538,0.6210823893103378,49155,0.9997152677500051,15426,0.3137342634586833
100,0,49169,1.9,6,0.00012202810714067808,30538,0.6210823893103378,49155,0.9997152677500051,15426,0.3137342634586833
100,0,49169,1.95,6,0.00012202810714067808,30538,0.6210823893103378,49156,0.9997356057678619,15426,0.3137342634586833
100,0,49169,2.0,6,0.00012202810714067808,30538,0.6210823893103378,49158,0.9997762818035755,15426,0.3137342634586833
