,Total_name,Motif,Strandness,relative_fold,relative_fold_median,T_value,P_value,Ranksum_statistic,Ranksum_P_value,Corrected_pvalue,N_with_motif,N_without_motif,Significant
256,MSN4_f,MSN4,Forward,1.321779607370354,1.3600451812222887,14.324671975012606,5.558370295280522e-45,16.312108192946916,8.094996744590492e-60,2.974911303637006e-58,2607,43461,Yes
255,MSN2_f,MSN2,Forward,1.2757195597375584,1.293712631648239,13.38526511092772,7.663309417448377e-40,14.548658059751604,5.955997789146957e-48,1.346971807699389e-46,3038,43030,Yes
399,GIS1_r,GIS1,Reverse,1.256617088316808,1.286406452755441,20.376421284119438,9.913756853376662e-91,21.843286098987996,9.004064646941277e-106,1.0588780024802942e-103,8557,37511,Yes
237,PIP2_f,PIP2,Forward,1.2548096560544,1.4432433286236888,1.9856425105893387,0.0514192076396884,2.573188956894363,0.010076617625442793,0.019299840924300853,64,46004,Yes
417,YER130C_r,YER130C,Reverse,1.254652543039645,1.2736493869032426,18.97322760368593,7.541619250850969e-79,20.628871521381818,1.5113592184705098e-94,1.4811320341010996e-92,7422,38646,Yes
60,MSN4,MSN4,Both,1.2545961342132452,1.29244272840912,13.694396260252988,9.815703036071989e-42,15.537115842449861,1.9454380424327288e-54,5.199625313411112e-53,3479,42589,Yes
228,ACA1_f,ACA1,Forward,1.2506252576122743,1.3045183415503165,2.087797159804674,0.04066941742935873,2.1420127206497845,0.03219245841760494,0.05408333014157629,67,46001,No
220,USV1_f,USV1,Forward,1.24812220007136,1.283805233197589,20.68036580857872,1.4226578214634133e-93,22.31205015246385,2.822582474220679e-110,4.149196237104398e-108,9465,36603,Yes
427,DAL81_r,DAL81,Reverse,1.2464993199146428,1.3119702327867393,3.8085044070956244,0.0001747353868354507,4.2350961546804555,2.2845392871513868e-05,6.42731627198572e-05,257,45811,Yes
59,MSN2,MSN2,Both,1.2442514841086016,1.2585690707743202,13.14530982587126,1.0961125502497859e-38,14.021069764553564,1.158550074937932e-44,2.3490601519431174e-43,3611,42457,Yes
407,REI1_r,REI1,Reverse,1.226857601434618,1.2466027018210317,12.185169183212796,1.4183890369280905e-33,13.298375241311733,2.3655289453201165e-40,4.2149424843885714e-39,3617,42451,Yes
25,YER130C,YER130C,Both,1.2066747123195127,1.217333380976058,17.617145058173122,9.835293246255706e-69,18.76679755599526,1.411413873793847e-78,9.221237308786468e-77,9682,36386,Yes
7,GIS1,GIS1,Both,1.1977145495936425,1.214501633574461,18.027710964146046,5.074405078652855e-72,18.884719692404577,1.5234451772345404e-79,1.1197322052673871e-77,11335,34733,Yes
